"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.168685583E0,3.301315606E-1,-3.397864997E-1,1.252441287E0,1.339048502E0
1.178705583E0,4.041739404E-1,-3.350763023E-1,1.282799482E0,1.386076194E0
1.188724583E0,4.740326703E-1,-3.296501040E-1,1.297317982E0,1.420003560E0
1.198744583E0,5.277987719E-1,-3.269774318E-1,1.311337948E0,1.450893862E0
1.208764583E0,5.569190979E-1,-3.468752503E-1,1.337985039E0,1.490196391E0
1.218784583E0,5.636305213E-1,-3.807438910E-1,1.373991251E0,1.533133143E0
1.228803583E0,5.513139367E-1,-4.244604707E-1,1.405713201E0,1.568484412E0
1.238823583E0,5.438613892E-1,-4.813420773E-1,1.442626715E0,1.615130720E0
1.248843583E0,5.308585167E-1,-4.822651148E-1,1.478383422E0,1.643170091E0
1.258863583E0,5.123102665E-1,-4.335079491E-1,1.512241006E0,1.654467833E0
1.268882583E0,4.930881560E-1,-3.781490624E-1,1.536322117E0,1.657232117E0
1.278902583E0,4.599330425E-1,-3.180346489E-1,1.558224201E0,1.655520191E0
1.288922583E0,4.216551483E-1,-2.329075038E-1,1.577593923E0,1.649497364E0
1.298942583E0,3.812433481E-1,-1.411442310E-1,1.584946156E0,1.636252578E0
1.308961583E0,3.263760805E-1,-5.034081265E-2,1.581759095E0,1.615864282E0
1.318981583E0,2.556968033E-1,6.025881041E-3,1.558504343E0,1.579352068E0
1.329001583E0,1.721542478E-1,5.405892059E-2,1.514302611E0,1.525015361E0
1.339021583E0,9.030319750E-2,7.966722548E-2,1.463756442E0,1.468701623E0
1.349040583E0,3.270621598E-2,9.850696474E-2,1.422816157E0,1.426597048E0
1.359060583E0,-1.718210056E-3,1.316640675E-1,1.378459215E0,1.384733977E0
1.369080583E0,-3.953400999E-3,1.559246778E-1,1.326727390E0,1.335864403E0
1.379100583E0,2.107498795E-2,1.635887176E-1,1.280073524E0,1.290656286E0
1.389119583E0,6.801639497E-2,1.231171861E-1,1.234340429E0,1.242328607E0
1.399139583E0,1.100828871E-1,9.359231591E-2,1.197730422E0,1.206414492E0
1.409159583E0,1.452763081E-1,8.988706023E-2,1.184222937E0,1.196481865E0
1.419179583E0,1.539308429E-1,1.084687710E-1,1.199676752E0,1.214365879E0
1.429198583E0,1.423183978E-1,1.522636563E-1,1.223240137E0,1.240868720E0
1.439218583E0,1.179307997E-1,2.041623145E-1,1.241536140E0,1.263725410E0
1.449238583E0,9.171783924E-2,2.454562187E-1,1.248679876E0,1.275877091E0
1.459258583E0,5.047485232E-2,3.050292730E-1,1.264355898E0,1.301609160E0
1.469277583E0,-1.589751057E-2,4.022077620E-1,1.299398303E0,1.360316053E0
1.479297583E0,-1.276430786E-1,5.116232038E-1,1.347660303E0,1.447148697E0
1.489317583E0,-2.694673240E-1,5.855178833E-1,1.409704208E0,1.550067671E0
1.499337583E0,-4.035753608E-1,5.653043985E-1,1.476716757E0,1.631911307E0
1.509356583E0,-5.326947570E-1,5.259476304E-1,1.526749611E0,1.700396715E0
1.519376583E0,-6.559605002E-1,5.359529853E-1,1.528139472E0,1.747209211E0
1.529396583E0,-7.508339882E-1,5.807055235E-1,1.473066807E0,1.752397329E0
1.539416583E0,-7.966317534E-1,6.479874849E-1,1.391519070E0,1.729403149E0
1.549435583E0,-7.826935649E-1,7.603605986E-1,1.294554472E0,1.693112146E0
1.559455583E0,-7.301317453E-1,8.754463196E-1,1.232034206E0,1.678513303E0
1.569475583E0,-6.672470570E-1,9.462358356E-1,1.236021280E0,1.693614329E0
1.579495583E0,-6.444010735E-1,9.338327050E-1,1.283756375E0,1.713279515E0
1.589514583E0,-6.796264648E-1,7.980442643E-1,1.354016185E0,1.712345353E0
1.599534583E0,-7.444698811E-1,5.663629174E-1,1.419214725E0,1.699756687E0
1.609554583E0,-8.036684990E-1,2.972329557E-1,1.456200480E0,1.689600641E0
1.619574583E0,-8.334314823E-1,6.158467755E-2,1.459038496E0,1.681426193E0
1.629593583E0,-8.224648237E-1,-9.730084985E-2,1.430382609E0,1.652849131E0
1.639613583E0,-7.621027231E-1,-2.095465660E-1,1.359228611E0,1.572327174E0
1.649633583E0,-6.602981091E-1,-3.003704846E-1,1.295346022E0,1.484633738E0
1.659653583E0,-5.253789425E-1,-3.436689973E-1,1.277336001E0,1.423277441E0
1.669672583E0,-3.654257357E-1,-3.337417841E-1,1.279222608E0,1.371615845E0
1.679692583E0,-2.068632096E-1,-2.918891311E-1,1.279486775E0,1.328562404E0
1.689712583E0,-9.019437432E-2,-2.412171662E-1,1.266136885E0,1.292061669E0
1.699732583E0,-2.537153289E-2,-2.141129971E-1,1.252364159E0,1.270788761E0
1.709751583E0,4.020710476E-3,-1.904255152E-1,1.232108712E0,1.246743727E0
1.719771583E0,2.206490375E-3,-1.178877056E-1,1.186842680E0,1.192685175E0
1.729791583E0,-2.167087793E-2,-4.446408525E-2,1.120847702E0,1.121938614E0
1.739811583E0,-5.455275998E-2,-1.108427253E-2,1.056048989E0,1.057515169E0
1.749830583E0,-9.943074733E-2,-6.368347444E-3,1.008234024E0,1.013145042E0
1.759850583E0,-1.234664842E-1,2.134182304E-2,9.644188881E-1,9.725241580E-1
1.769870583E0,-1.319686174E-1,7.456109673E-2,9.173141718E-1,9.297528504E-1
1.779890583E0,-1.408984065E-1,1.432296634E-1,8.683945537E-1,8.913339432E-1
1.789909583E0,-1.572422236E-1,2.164500803E-1,8.156477213E-1,8.584037275E-1
1.799929583E0,-1.775182486E-1,2.551081777E-1,7.518450022E-1,8.135501326E-1
1.809949583E0,-1.766308844E-1,2.592621744E-1,6.950637698E-1,7.625804800E-1
1.819969583E0,-1.587463766E-1,2.603616416E-1,6.611046195E-1,7.280438960E-1
1.829988458E0,-1.528314948E-1,2.834286094E-1,6.488676667E-1,7.243745518E-1
1.840008458E0,-1.575657725E-1,2.680833936E-1,6.576882005E-1,7.274953248E-1
1.850028458E0,-1.778465360E-1,1.866455376E-1,6.490712762E-1,6.983977868E-1
1.860048458E0,-1.994736344E-1,5.902997777E-2,6.065697074E-1,6.412496230E-1
1.870067458E0,-1.998997480E-1,-7.352460176E-2,5.574300885E-1,5.967361895E-1
1.880087458E0,-1.478965431E-1,-1.487932950E-1,5.098838210E-1,5.513568201E-1
1.890107458E0,-5.929716676E-2,-1.412432343E-1,4.568917453E-1,4.818878211E-1
1.900127458E0,5.494730547E-2,-9.877251834E-2,4.127476513E-1,4.279437351E-1
1.910146458E0,1.745005995E-1,-7.523923367E-2,3.738452494E-1,4.193705665E-1
1.920166458E0,2.767708898E-1,-8.970423788E-2,3.443667591E-1,4.508186337E-1
1.930186458E0,3.376086950E-1,-1.453248858E-1,3.186214566E-1,4.864345650E-1
1.940206458E0,3.610052168E-1,-2.123289704E-1,3.168999553E-1,5.251989527E-1
1.950225458E0,2.751289010E-1,-4.025799036E-1,2.682842016E-1,5.565455092E-1
1.960245458E0,1.813271083E-4,-1.163701177E0,2.162890434E-1,1.183630606E0
1.970265458E0,-8.604756743E-2,-1.110856295E0,3.189107478E-1,1.158926208E0
1.980285458E0,-1.296722442E-1,-9.122671485E-1,3.907941878E-1,1.000882780E0
1.990304458E0,-8.514953405E-2,-6.704473495E-1,3.901992142E-1,7.803880563E-1
2.000324458E0,3.708564490E-2,-2.861403525E-1,4.444129765E-1,5.298627559E-1
2.010344458E0,1.024579927E-1,7.217091322E-2,5.214126706E-1,5.362624862E-1
2.020363458E0,7.324065268E-2,2.599683106E-1,5.824221373E-1,6.419994250E-1
2.030383458E0,-5.977118760E-2,8.972705901E-2,5.937791467E-1,6.034875434E-1
2.040403458E0,-2.625321746E-1,-1.557707191E-1,5.371615291E-1,6.178431580E-1
2.050423458E0,-4.305286407E-1,-3.111872077E-1,4.801174104E-1,7.160342984E-1
2.060442458E0,-5.068762302E-1,-3.562081456E-1,4.314073920E-1,7.549305224E-1
2.070462458E0,-4.973221421E-1,-2.781277299E-1,3.572631180E-1,6.725483497E-1
2.080482458E0,-4.344742894E-1,-6.447839737E-2,2.472335398E-1,5.040335258E-1
2.090502458E0,-3.692811728E-1,1.984134167E-1,1.163309067E-1,4.350509721E-1
2.100521458E0,-3.132842183E-1,4.293094873E-1,1.016265806E-2,5.315608309E-1
